run_id,config_label,baseline_variant,filename,base__property_result,base__frame_sizes,base__total_time,base__k,base__solver,base__max_memory(MB),base__execution_time(s),base__cpu_time(s),base__exit_code,base__timed_out,asc_l1l2__property_result,asc_l1l2__frame_sizes,asc_l1l2__total_time,asc_l1l2__k,asc_l1l2__solver,asc_l1l2__max_memory(MB),asc_l1l2__execution_time(s),asc_l1l2__cpu_time(s),asc_l1l2__exit_code,asc_l1l2__timed_out,desc_l2l1__property_result,desc_l2l1__frame_sizes,desc_l2l1__total_time,desc_l2l1__k,desc_l2l1__solver,desc_l2l1__max_memory(MB),desc_l2l1__execution_time(s),desc_l2l1__cpu_time(s),desc_l2l1__exit_code,desc_l2l1__timed_out,pic3__property_result,pic3__frame_sizes,pic3__total_time,pic3__k,pic3__solver,pic3__max_memory(MB),pic3__execution_time(s),pic3__cpu_time(s),pic3__exit_code,pic3__timed_out,base_x3__property_result,base_x3__frame_sizes,base_x3__total_time,base_x3__k,base_x3__solver,base_x3__max_memory(MB),base_x3__execution_time(s),base_x3__cpu_time(s),base_x3__exit_code,base_x3__timed_out
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,FMCAD08/Bool/misc/stalmark_e8_64_e7_80.lus,Unsafe,0,0.104,1,9,37.34,0.64,0.07,40,false,Unsafe,0,0.109,1,9,37.31,0.62,0.04,40,false,Unsafe,0,0.018,1,9,32.55,0.52,0.04,40,false,Unsafe,0,0.017,1,9,60.57,0.42,0.06,40,false,Unsafe,0,0.073,1,9,71.00,0.53,0.10,40,false
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,FMCAD08/Bool/misc/stalmark_e7_27.lus,Safe,6 5 3,0.102,4,201,43.11,0.65,0.12,0,false,Safe,6 5 3,0.112,4,201,43.27,0.62,0.12,0,false,Safe,6 5 3,0.103,4,191,42.68,0.52,0.12,0,false,Safe,6 5 3,0.108,4,201,90.31,0.52,0.30,0,false,Safe,6 5 3,0.112,4,201,89.15,0.52,0.33,0,false
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,FMCAD08/Bool/misc/switch.lus,Error,,,,,12.62,0.11,0.01,3,false,Error,,,,,11.62,0.11,0.01,3,false,Error,,,,,11.50,0.11,0.01,3,false,Error,,,,,11.88,0.11,0.01,3,false,Error,,,,,12.75,0.11,0.01,3,false
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,FMCAD08/Bool/misc/switch2.lus,Error,,,,,12.12,0.11,0.01,3,false,Error,,,,,11.62,0.11,0.01,3,false,Error,,,,,11.75,0.11,0.01,3,false,Error,,,,,11.50,0.11,0.01,3,false,Error,,,,,11.62,0.11,0.01,3,false
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,FMCAD08/Bool/misc/stalmark_e8_64_e8_207.lus,Unsafe,,0.007,0,1,19.27,0.42,0.03,40,false,Unsafe,,0.007,0,1,18.87,0.42,0.03,40,false,Unsafe,,0.007,0,1,19.12,0.42,0.03,40,false,Unsafe,,0.006,0,1,19.77,0.42,0.05,40,false,Unsafe,,0.007,0,1,32.71,0.42,0.05,40,false
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,FMCAD08/Bool/misc/_6counter2.lus,Unsafe,3 2 1 0,0.105,4,202,42.30,0.52,0.11,40,false,Unsafe,3 2 1 0,0.113,4,201,42.34,0.52,0.12,40,false,Unsafe,4 3 1 0,0.144,4,248,43.34,0.63,0.16,40,false,Unsafe,3 2 1 0,0.108,4,202,89.19,0.53,0.34,40,false,Unsafe,3 2 1 0,0.135,4,202,88.55,0.63,0.41,40,false
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,FMCAD08/Bool/misc/stalmark_e7_27_e7_31.lus,Safe,6 5 3,0.102,4,196,42.93,0.52,0.11,0,false,Safe,6 5 3,0.109,4,196,42.80,0.52,0.11,0,false,Safe,6 5 3,0.100,4,198,42.93,0.52,0.11,0,false,Safe,6 5 3,0.104,4,196,89.28,0.52,0.30,0,false,Safe,6 5 3,0.122,4,196,87.74,0.63,0.38,0,false
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,FMCAD08/Bool/misc/_6counter.lus,Unsafe,7 5 3 2 1,0.363,5,661,44.80,0.86,0.36,40,false,Unsafe,7 5 3 2 1,0.429,5,659,44.30,0.93,0.40,40,false,Unsafe,7 5 3 2 1,0.365,5,661,45.18,0.85,0.36,40,false,Unsafe,7 5 3 2 1,0.381,5,661,95.69,0.84,1.09,40,false,Unsafe,7 5 3 2 1,0.408,5,661,94.61,0.84,1.17,40,false
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,FMCAD08/Bool/misc/stalmark_e8_48.lus,Unsafe,,0.008,0,2,31.84,0.42,0.03,40,false,Unsafe,,0.008,0,2,42.05,0.52,0.03,40,false,Unsafe,,0.008,0,2,32.26,0.42,0.03,40,false,Unsafe,,0.007,0,2,58.81,0.42,0.05,40,false,Unsafe,,0.007,0,2,58.50,0.42,0.05,40,false
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,FMCAD08/Bool/misc/stalmark.lus,Safe,4 2,0.086,3,145,43.05,0.52,0.09,0,false,Safe,4 2,0.093,3,145,42.93,0.52,0.10,0,false,Safe,4 2,0.086,3,145,42.68,0.53,0.10,0,false,Safe,4 2,0.088,3,145,90.22,0.52,0.26,0,false,Safe,4 2,0.091,3,145,90.75,0.52,0.27,0,false
