run_id,config_label,baseline_variant,variant,filename,base_property_result,variant_property_result,base_total_time_s,variant_total_time_s,time_ratio_variant_over_base,delta_total_time_s,comparison
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,base,FMCAD08/Bool/misc/stalmark_e8_64_e7_80.lus,Unsafe,Unsafe,0.104000,0.104000,,,baseline
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,base,FMCAD08/Bool/misc/stalmark_e7_27.lus,Safe,Safe,0.102000,0.102000,,,baseline
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,base,FMCAD08/Bool/misc/switch.lus,Error,Error,0.110000,0.110000,,,baseline
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,base,FMCAD08/Bool/misc/switch2.lus,Error,Error,0.110000,0.110000,,,baseline
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,base,FMCAD08/Bool/misc/stalmark_e8_64_e8_207.lus,Unsafe,Unsafe,0.007000,0.007000,,,baseline
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,base,FMCAD08/Bool/misc/_6counter2.lus,Unsafe,Unsafe,0.105000,0.105000,,,baseline
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,base,FMCAD08/Bool/misc/stalmark_e7_27_e7_31.lus,Safe,Safe,0.102000,0.102000,,,baseline
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,base,FMCAD08/Bool/misc/_6counter.lus,Unsafe,Unsafe,0.363000,0.363000,,,baseline
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,base,FMCAD08/Bool/misc/stalmark_e8_48.lus,Unsafe,Unsafe,0.008000,0.008000,,,baseline
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,base,FMCAD08/Bool/misc/stalmark.lus,Safe,Safe,0.086000,0.086000,,,baseline
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,base,FMCAD08/Bool/misc/stalmark_e7_76.lus,Safe,Safe,0.102000,0.102000,,,baseline
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,base,FMCAD08/Bool/simulation/ums_e8_1032.lus,Safe,Safe,0.112000,0.112000,,,baseline
