filename,property_result,frame_sizes,total_time,k,solver,max_memory(MB),execution_time(s),cpu_time(s),exit_code,timed_out,variant
FMCAD08/Bool/misc/stalmark_e8_64_e7_80.lus,Unsafe,0,0.109,1,9,37.31,0.62,0.04,40,false,asc_l1l2
FMCAD08/Bool/misc/stalmark_e7_27.lus,Safe,6 5 3,0.112,4,201,43.27,0.62,0.12,0,false,asc_l1l2
FMCAD08/Bool/misc/switch.lus,Error,,,,,11.62,0.11,0.01,3,false,asc_l1l2
FMCAD08/Bool/misc/switch2.lus,Error,,,,,11.62,0.11,0.01,3,false,asc_l1l2
FMCAD08/Bool/misc/stalmark_e8_64_e8_207.lus,Unsafe,,0.007,0,1,18.87,0.42,0.03,40,false,asc_l1l2
FMCAD08/Bool/misc/_6counter2.lus,Unsafe,3 2 1 0,0.113,4,201,42.34,0.52,0.12,40,false,asc_l1l2
FMCAD08/Bool/misc/stalmark_e7_27_e7_31.lus,Safe,6 5 3,0.109,4,196,42.80,0.52,0.11,0,false,asc_l1l2
FMCAD08/Bool/misc/_6counter.lus,Unsafe,7 5 3 2 1,0.429,5,659,44.30,0.93,0.40,40,false,asc_l1l2
FMCAD08/Bool/misc/stalmark_e8_48.lus,Unsafe,,0.008,0,2,42.05,0.52,0.03,40,false,asc_l1l2
FMCAD08/Bool/misc/stalmark.lus,Safe,4 2,0.093,3,145,42.93,0.52,0.10,0,false,asc_l1l2
FMCAD08/Bool/misc/stalmark_e7_76.lus,Safe,6 5 3,0.120,4,201,42.72,0.63,0.13,0,false,asc_l1l2
FMCAD08/Bool/simulation/ums_e8_1032.lus,Safe,7,0.224,2,105,45.61,0.73,0.23,0,false,asc_l1l2
FMCAD08/Bool/simulation/production_cell_e7_207_e7_41.lus,Unsafe,,0.017,0,2,20.73,0.52,0.04,40,false,asc_l1l2
FMCAD08/Bool/simulation/tramway.lus,Safe,8 4,0.330,3,347,46.09,0.83,0.33,0,false,asc_l1l2
FMCAD08/Bool/simulation/ums_e7_1700.lus,Unsafe,12,0.470,1,244,46.74,0.93,0.48,40,false,asc_l1l2
FMCAD08/Bool/simulation/production_cell_e7_21.lus,Unsafe,,0.017,0,2,33.53,0.52,0.04,40,false,asc_l1l2
FMCAD08/Bool/simulation/production_cell_e7_207_e8_241.lus,Safe,5,0.083,2,73,42.21,0.53,0.10,0,false,asc_l1l2
FMCAD08/Bool/simulation/tramway_e7_1834_e8_3192.lus,Safe,8 4,0.352,3,347,46.00,0.84,0.36,0,false,asc_l1l2
FMCAD08/Bool/simulation/production_cell_e8_6.lus,Safe,5,0.094,2,74,41.17,0.63,0.12,0,false,asc_l1l2
FMCAD08/Bool/simulation/tramway_e7_1834_e7_2363.lus,Safe,3,0.083,2,51,43.21,0.52,0.10,0,false,asc_l1l2
FMCAD08/Bool/simulation/ums.lus,Safe,8,0.274,2,148,46.22,0.73,0.28,0,false,asc_l1l2
FMCAD08/Bool/simulation/production_cell.lus,Safe,5,0.112,2,73,41.18,0.54,0.13,0,false,asc_l1l2
FMCAD08/Bool/simulation/tramway_e7_1834.lus,Safe,3,0.100,2,47,43.12,0.54,0.12,0,false,asc_l1l2
FMCAD08/Bool/simulation/production_cell_e8_6_e7_651.lus,Unsafe,,0.017,0,2,41.30,0.53,0.05,40,false,asc_l1l2
FMCAD08/Bool/simulation/production_cell_e8_6_e8_427.lus,Unsafe,3,0.076,1,53,42.20,0.53,0.10,40,false,asc_l1l2
FMCAD08/Int/protocol/swimmingpool_4_e7_2197.lus,Unsafe,3 2,0.166,2,68,47.31,0.65,0.16,40,false,asc_l1l2
FMCAD08/Int/protocol/rtp_9.lus,Safe,1,0.057,2,24,37.19,0.52,0.11,0,false,asc_l1l2
FMCAD08/Int/protocol/rtp_6.lus,Safe,2,0.082,2,41,43.82,0.62,0.12,0,false,asc_l1l2
FMCAD08/Int/protocol/swimmingpool_6.lus,Unsafe,3 2 1,0.279,3,189,47.90,0.75,0.29,40,false,asc_l1l2
FMCAD08/Int/protocol/rtp_7.lus,Safe,1,0.057,2,26,35.93,0.54,0.11,0,false,asc_l1l2
FMCAD08/Int/protocol/swimmingpool_6_e7_399.lus,Unsafe,15 10 6 2,1.277,4,1031,52.25,1.77,1.25,40,false,asc_l1l2
FMCAD08/Int/protocol/rtp_4.lus,Safe,2,0.080,2,39,39.77,0.53,0.13,0,false,asc_l1l2
FMCAD08/Int/protocol/swimmingpool_1_e7_1621.lus,Unsafe,5 4,0.225,2,120,47.45,0.73,0.25,40,false,asc_l1l2
FMCAD08/Int/protocol/rtp_8.lus,Safe,1,0.058,2,24,49.19,0.52,0.10,0,false,asc_l1l2
FMCAD08/Int/protocol/swimmingpool_4.lus,Unsafe,2 1,0.104,2,56,34.16,0.64,0.13,40,false,asc_l1l2
FMCAD08/Int/protocol/peterson_all.lus,Safe,5,0.194,2,88,48.71,0.73,0.25,0,false,asc_l1l2
FMCAD08/Int/protocol/peterson_3.lus,Safe,2,0.097,2,41,48.06,0.63,0.15,0,false,asc_l1l2
FMCAD08/Int/protocol/swimmingpool_3.lus,Unsafe,0,0.061,1,27,43.90,0.52,0.09,40,false,asc_l1l2
FMCAD08/Int/protocol/swimmingpool_1.lus,Unsafe,11 9 7 3,1.166,4,808,51.64,1.67,1.16,40,false,asc_l1l2
FMCAD08/Int/protocol/swimmingpool_2.lus,Unsafe,,0.019,0,2,43.52,0.52,0.05,40,false,asc_l1l2
FMCAD08/Int/protocol/rtp_all.lus,Safe,10,0.363,2,197,49.22,0.83,0.41,0,false,asc_l1l2
FMCAD08/Int/protocol/readwrit.lus,Safe,1,0.054,2,24,20.98,0.53,0.08,0,false,asc_l1l2
FMCAD08/Int/protocol/rtp_1.lus,Safe,2,0.072,2,39,47.47,0.54,0.12,0,false,asc_l1l2
FMCAD08/Int/protocol/rtp_2.lus,Safe,3,0.097,2,55,49.45,0.63,0.15,0,false,asc_l1l2
FMCAD08/Int/protocol/rtp_5.lus,Safe,1,0.056,2,26,48.62,0.53,0.10,0,false,asc_l1l2
FMCAD08/Int/protocol/rtp_3.lus,Safe,2,0.078,2,39,41.99,0.52,0.12,0,false,asc_l1l2
FMCAD08/Int/protocol/peterson_2.lus,Safe,1,0.068,2,26,44.18,0.53,0.12,0,false,asc_l1l2
FMCAD08/Int/protocol/peterson_1_e7_4234.lus,Safe,1,0.073,2,26,48.57,0.55,0.14,0,false,asc_l1l2
FMCAD08/Int/protocol/peterson_1.lus,Safe,1,0.068,2,26,19.45,0.53,0.12,0,false,asc_l1l2
FMCAD08/Int/protocol/peterson_4.lus,Safe,1,0.069,2,26,39.93,0.55,0.12,0,false,asc_l1l2
FMCAD08/Int/protocol/swimmingpool_8.lus,Unsafe,11 7 3,0.832,3,589,49.72,1.38,0.83,40,false,asc_l1l2
FMCAD08/Int/protocol/rtp_10_e7_106_e7_2564.lus,Safe,2,0.087,2,39,47.62,0.65,0.17,0,false,asc_l1l2
FMCAD08/Int/protocol/rtp_5_e7_3972.lus,Safe,2,0.072,2,31,47.99,0.54,0.12,0,false,asc_l1l2
FMCAD08/Int/protocol/swimmingpool_6_e7_10_e7_341.lus,Unsafe,4 3 1,0.390,3,259,48.40,0.83,0.40,40,false,asc_l1l2
FMCAD08/Int/protocol/swimmingpool_7.lus,Unsafe,4 1,0.323,2,174,48.37,0.84,0.34,40,false,asc_l1l2
FMCAD08/Int/protocol/rtp_all_e7_2500.lus,Safe,17,0.612,2,386,49.60,1.15,0.66,0,false,asc_l1l2
FMCAD08/Int/protocol/swimmingpool_9.lus,Unsafe,20 16 11 8 5 4 3 2,4.492,8,3047,59.80,4.98,4.38,40,false,asc_l1l2
FMCAD08/Int/protocol/rtp_10.lus,Safe,1,0.054,2,24,42.57,0.54,0.11,0,false,asc_l1l2
FMCAD08/Int/protocol/rtp_vt.lus,Timeout,98 97 95 91 86 82 77 59 35,135.727,9,33129,227.37,302.27,1.27,1,true,asc_l1l2
FMCAD08/Int/protocol/swimmingpool_5.lus,Unsafe,2 1,0.156,2,87,47.53,0.62,0.18,40,false,asc_l1l2
FMCAD08/Int/protocol/peterson_vt.lus,Unsafe,5 2,0.404,2,173,50.43,0.94,0.46,40,false,asc_l1l2
FMCAD08/Int/misc/ticket3i_2.lus,Safe,2,0.071,2,39,19.44,0.53,0.10,0,false,asc_l1l2
FMCAD08/Int/misc/durationThm_3_e3_442_e5_260.lus,Safe,1,0.051,2,28,43.41,0.52,0.08,0,false,asc_l1l2
FMCAD08/Int/misc/ticket3i_7_e7_3176.lus,Safe,6,0.146,2,95,47.28,0.64,0.17,0,false,asc_l1l2
FMCAD08/Int/misc/durationThm_1_e7_217_e3_132.lus,Safe,3,0.056,2,46,45.56,0.52,0.07,0,false,asc_l1l2
FMCAD08/Int/misc/durationThm_2_e7_145_e8_73.lus,Timeout,,,,,,,,,true,asc_l1l2
FMCAD08/Int/misc/durationThm_2_e7_145_e1_343.lus,Unsafe,,0.013,0,2,32.28,0.42,0.04,40,false,asc_l1l2
FMCAD08/Int/misc/_6counters.lus,Unsafe,40 37 33 30 24 23 17 16 13,14.979,9,12183,80.98,15.43,14.45,40,false,asc_l1l2
FMCAD08/Int/misc/ticket3i_7_e7_3176_e1_2924.lus,Safe,7,0.162,2,113,47.41,0.64,0.20,0,false,asc_l1l2
FMCAD08/Int/misc/durationThm_1_e2_3.lus,Safe,1,0.037,2,23,19.45,0.52,0.06,0,false,asc_l1l2
FMCAD08/Int/misc/durationThm_2_e7_145_e3_222.lus,Safe,3,0.054,2,45,45.65,0.53,0.07,0,false,asc_l1l2
FMCAD08/Int/misc/durationThm_3_e7_334_e2_62.lus,Safe,4,0.073,2,65,45.40,0.52,0.09,0,false,asc_l1l2
FMCAD08/Int/misc/ticket3i_1.lus,Safe,3,0.077,2,51,43.79,0.52,0.10,0,false,asc_l1l2
FMCAD08/Int/misc/durationThm_3.lus,Timeout,,,,,,,,,true,asc_l1l2
FMCAD08/Int/misc/traffic_e7_46_e7_171.lus,Unsafe,,0.009,0,1,19.64,0.54,0.04,40,false,asc_l1l2
FMCAD08/Int/misc/durationThm_2_e7_149.lus,Unsafe,,0.012,0,2,32.62,0.52,0.04,40,false,asc_l1l2
FMCAD08/Int/misc/durationThm_3_e7_334_e3_42.lus,Safe,3,0.058,2,48,45.93,0.52,0.07,0,false,asc_l1l2
FMCAD08/Int/misc/ticket3i_7_e3_59_e7_2122.lus,Safe,6,0.151,2,99,47.45,0.64,0.18,0,false,asc_l1l2
FMCAD08/Int/misc/ex8_e7_74.lus,Unsafe,0,0.027,2,13,44.21,0.52,0.04,40,false,asc_l1l2
FMCAD08/Int/misc/ex8_e7_74_e7_740.lus,Unsafe,0,0.028,2,13,43.74,0.52,0.05,40,false,asc_l1l2
FMCAD08/Int/misc/ticket3i_3_e7_99.lus,Unsafe,,0.021,0,2,44.25,0.52,0.07,40,false,asc_l1l2
FMCAD08/Int/misc/ticket3i_3_e7_1312_e8_1916.lus,Safe,1,0.049,2,24,42.88,0.54,0.08,0,false,asc_l1l2
FMCAD08/Int/misc/ex8_e8_220_e7_249.lus,Unsafe,0,0.027,2,13,44.83,0.42,0.04,40,false,asc_l1l2
FMCAD08/Int/misc/two_counters_e1_268.lus,Unsafe,,0.011,0,2,32.38,0.52,0.03,40,false,asc_l1l2
FMCAD08/Int/misc/durationThm_2.lus,Timeout,,,,,,,,,true,asc_l1l2
FMCAD08/Int/misc/durationThm_3_e1_36.lus,Unsafe,0,0.027,1,9,20.16,0.53,0.05,40,false,asc_l1l2
FMCAD08/Int/misc/ticket3i_all_e8_505_e7_2450.lus,Safe,7,0.160,2,115,47.79,0.63,0.19,0,false,asc_l1l2
FMCAD08/Int/misc/durationThm_1_e1_350.lus,Unsafe,,0.013,0,2,44.84,0.54,0.04,40,false,asc_l1l2
FMCAD08/Int/misc/ticket3i_3_e8_1703_e8_2560.lus,Safe,1,0.050,2,24,37.14,0.53,0.09,0,false,asc_l1l2
FMCAD08/Int/misc/durationThm_1_e3_389.lus,Safe,1,0.036,2,23,46.06,0.54,0.05,0,false,asc_l1l2
FMCAD08/Int/misc/durationThm_3_e3_442_e4_165.lus,Safe,1,0.036,2,24,46.15,0.54,0.06,0,false,asc_l1l2
FMCAD08/Int/misc/durationThm_1_e7_217_e7_31.lus,Unsafe,,0.022,0,2,20.03,0.55,0.06,40,false,asc_l1l2
FMCAD08/Int/misc/durationThm_1.lus,Timeout,,,,,,,,,true,asc_l1l2
FMCAD08/Int/misc/ticket3i_all_e7_591.lus,Safe,6,0.148,2,95,47.40,0.64,0.18,0,false,asc_l1l2
FMCAD08/Int/misc/durationThm_2_e1_301.lus,Timeout,,,,,,,,,true,asc_l1l2
FMCAD08/Int/misc/two_counters_e3_325.lus,Unsafe,0,0.029,1,17,42.77,0.53,0.05,40,false,asc_l1l2
FMCAD08/Int/misc/durationThm_3_e7_334.lus,Unsafe,1 0,0.110,2,89,43.61,0.53,0.12,40,false,asc_l1l2
FMCAD08/Int/misc/_6counters_e8_371_e1_448.lus,Timeout,,,,,,,,,true,asc_l1l2
FMCAD08/Int/misc/ticket3i_3_e8_1703_e7_3491.lus,Unsafe,,0.021,0,2,45.40,0.53,0.07,40,false,asc_l1l2
FMCAD08/Int/misc/ticket3i_1_e7_1669.lus,Safe,3,0.086,2,55,34.75,0.64,0.12,0,false,asc_l1l2
FMCAD08/Int/misc/durationThm_1_e7_217.lus,Unsafe,1,0.046,1,26,42.55,0.54,0.07,40,false,asc_l1l2
FMCAD08/Int/misc/traffic.lus,Safe,2,0.042,2,38,44.92,0.53,0.06,0,false,asc_l1l2
FMCAD08/Int/misc/two_counters_e2_3.lus,Unsafe,0,0.023,1,9,33.11,0.53,0.04,40,false,asc_l1l2
FMCAD08/Int/misc/ticket3i_7_e1_2192_e1_1852.lus,Safe,9,0.197,2,153,47.30,0.63,0.23,0,false,asc_l1l2
FMCAD08/Int/misc/_6counters_e3_140_e8_149.lus,Timeout,,,,,,,,,true,asc_l1l2
FMCAD08/Int/misc/ticket3i_7_e2_2724_e7_524.lus,Safe,6,0.145,2,99,47.65,0.63,0.18,0,false,asc_l1l2
FMCAD08/Int/misc/durationThm_2_e7_145_e2_169.lus,Safe,4,0.065,2,58,45.47,0.52,0.08,0,false,asc_l1l2
FMCAD08/Int/misc/durationThm_2_e7_145_e7_154.lus,Unsafe,,0.013,0,2,20.04,0.42,0.04,40,false,asc_l1l2
FMCAD08/Int/misc/_6counters_e8_371_e7_304.lus,Unsafe,18 15 12 9,1.347,4,1563,51.12,1.87,1.29,40,false,asc_l1l2
FMCAD08/Int/misc/durationThm_2_e3_329_e4_1.lus,Safe,3,0.057,2,47,45.31,0.52,0.07,0,false,asc_l1l2
FMCAD08/Int/misc/_6countern.lus,Unsafe,,0.007,0,1,31.57,0.53,0.03,40,false,asc_l1l2
FMCAD08/Int/misc/durationThm_3_e7_334_e7_118.lus,Unsafe,,0.011,0,1,19.56,0.42,0.04,40,false,asc_l1l2
FMCAD08/Int/misc/ticket3i_3_e8_1703.lus,Safe,2,0.066,2,37,47.12,0.63,0.10,0,false,asc_l1l2
FMCAD08/Int/misc/ticket3i_4.lus,Safe,2,0.063,2,37,31.71,0.54,0.09,0,false,asc_l1l2
FMCAD08/Int/misc/ticket3i_3_e7_1312_e7_1495.lus,Unsafe,,0.021,0,2,37.05,0.54,0.07,40,false,asc_l1l2
FMCAD08/Int/misc/durationThm_1_e7_217_e1_89.lus,Unsafe,,0.013,0,2,41.78,0.53,0.04,40,false,asc_l1l2
FMCAD08/Int/misc/durationThm_3_e7_334_e1_431.lus,Unsafe,0,0.026,1,9,20.07,0.53,0.05,40,false,asc_l1l2
FMCAD08/Int/misc/ex8.lus,Unsafe,0,0.026,2,13,44.58,0.43,0.05,40,false,asc_l1l2
FMCAD08/Int/misc/_6counters_e8_371_e2_80.lus,Safe,0,0.021,2,12,43.19,0.52,0.04,0,false,asc_l1l2
FMCAD08/Int/misc/two_counters.lus,Safe,27 25 19 15 10,1.587,6,2289,51.73,2.08,1.51,0,false,asc_l1l2
FMCAD08/Int/misc/durationThm_3_e3_207.lus,Safe,1,0.040,2,28,43.65,0.53,0.06,0,false,asc_l1l2
FMCAD08/Int/misc/ticket3i_3.lus,Safe,1,0.051,2,24,32.00,0.53,0.09,0,false,asc_l1l2
