filename,property_result,frame_sizes,total_time,k,solver,max_memory(MB),execution_time(s),cpu_time(s),exit_code,timed_out,variant
FMCAD08/Bool/misc/stalmark_e8_64_e7_80.lus,Unsafe,0,0.104,1,9,37.34,0.64,0.07,40,false,base
FMCAD08/Bool/misc/stalmark_e7_27.lus,Safe,6 5 3,0.102,4,201,43.11,0.65,0.12,0,false,base
FMCAD08/Bool/misc/switch.lus,Error,,,,,12.62,0.11,0.01,3,false,base
FMCAD08/Bool/misc/switch2.lus,Error,,,,,12.12,0.11,0.01,3,false,base
FMCAD08/Bool/misc/stalmark_e8_64_e8_207.lus,Unsafe,,0.007,0,1,19.27,0.42,0.03,40,false,base
FMCAD08/Bool/misc/_6counter2.lus,Unsafe,3 2 1 0,0.105,4,202,42.30,0.52,0.11,40,false,base
FMCAD08/Bool/misc/stalmark_e7_27_e7_31.lus,Safe,6 5 3,0.102,4,196,42.93,0.52,0.11,0,false,base
FMCAD08/Bool/misc/_6counter.lus,Unsafe,7 5 3 2 1,0.363,5,661,44.80,0.86,0.36,40,false,base
FMCAD08/Bool/misc/stalmark_e8_48.lus,Unsafe,,0.008,0,2,31.84,0.42,0.03,40,false,base
FMCAD08/Bool/misc/stalmark.lus,Safe,4 2,0.086,3,145,43.05,0.52,0.09,0,false,base
FMCAD08/Bool/misc/stalmark_e7_76.lus,Safe,6 5 3,0.102,4,201,42.71,0.52,0.11,0,false,base
FMCAD08/Bool/simulation/ums_e8_1032.lus,Safe,3,0.112,2,46,45.39,0.63,0.15,0,false,base
FMCAD08/Bool/simulation/production_cell_e7_207_e7_41.lus,Unsafe,,0.016,0,2,33.80,0.52,0.04,40,false,base
FMCAD08/Bool/simulation/tramway.lus,Safe,10 8 4,0.589,4,732,47.09,1.04,0.59,0,false,base
FMCAD08/Bool/simulation/ums_e7_1700.lus,Unsafe,7,0.290,1,141,46.62,0.73,0.32,40,false,base
FMCAD08/Bool/simulation/production_cell_e7_21.lus,Unsafe,,0.016,0,2,33.83,0.52,0.04,40,false,base
FMCAD08/Bool/simulation/production_cell_e7_207_e8_241.lus,Safe,5,0.076,2,73,43.89,0.53,0.09,0,false,base
FMCAD08/Bool/simulation/tramway_e7_1834_e8_3192.lus,Safe,10 8 4,0.588,4,732,47.25,1.05,0.59,0,false,base
FMCAD08/Bool/simulation/production_cell_e8_6.lus,Safe,5,0.077,2,74,44.17,0.53,0.10,0,false,base
FMCAD08/Bool/simulation/tramway_e7_1834_e7_2363.lus,Safe,4,0.092,2,64,42.87,0.53,0.12,0,false,base
FMCAD08/Bool/simulation/ums.lus,Safe,2,0.089,2,33,42.22,0.53,0.11,0,false,base
FMCAD08/Bool/simulation/production_cell.lus,Safe,5,0.078,2,73,44.34,0.54,0.10,0,false,base
FMCAD08/Bool/simulation/tramway_e7_1834.lus,Safe,3,0.074,2,47,43.21,0.52,0.09,0,false,base
FMCAD08/Bool/simulation/production_cell_e8_6_e7_651.lus,Unsafe,,0.016,0,2,20.81,0.43,0.05,40,false,base
FMCAD08/Bool/simulation/production_cell_e8_6_e8_427.lus,Unsafe,3,0.075,1,53,44.21,0.53,0.11,40,false,base
FMCAD08/Int/protocol/swimmingpool_4_e7_2197.lus,Unsafe,6 4,0.272,2,169,47.65,0.73,0.27,40,false,base
FMCAD08/Int/protocol/rtp_9.lus,Safe,1,0.058,2,25,46.57,0.52,0.11,0,false,base
FMCAD08/Int/protocol/rtp_6.lus,Safe,2,0.079,2,41,50.73,0.52,0.13,0,false,base
FMCAD08/Int/protocol/swimmingpool_6.lus,Unsafe,6 3 1,0.582,3,355,49.48,1.05,0.60,40,false,base
FMCAD08/Int/protocol/rtp_7.lus,Safe,1,0.056,2,27,42.24,0.54,0.10,0,false,base
FMCAD08/Int/protocol/swimmingpool_6_e7_399.lus,Unsafe,13 9 4,1.138,3,840,52.35,1.67,1.16,40,false,base
FMCAD08/Int/protocol/rtp_4.lus,Safe,2,0.080,2,39,47.48,0.64,0.15,0,false,base
FMCAD08/Int/protocol/swimmingpool_1_e7_1621.lus,Unsafe,5 4,0.202,2,115,47.46,0.62,0.23,40,false,base
FMCAD08/Int/protocol/rtp_8.lus,Safe,1,0.056,2,25,43.12,0.52,0.11,0,false,base
FMCAD08/Int/protocol/swimmingpool_4.lus,Unsafe,3 2,0.129,2,84,46.41,0.63,0.15,40,false,base
FMCAD08/Int/protocol/peterson_all.lus,Safe,7,0.286,2,134,56.83,0.74,0.33,0,false,base
FMCAD08/Int/protocol/peterson_3.lus,Safe,2,0.098,2,41,48.43,0.63,0.16,0,false,base
FMCAD08/Int/protocol/swimmingpool_3.lus,Unsafe,1,0.091,1,50,47.72,0.64,0.15,40,false,base
FMCAD08/Int/protocol/swimmingpool_1.lus,Unsafe,8 6 4 2,0.949,4,660,50.82,1.48,0.97,40,false,base
FMCAD08/Int/protocol/swimmingpool_2.lus,Unsafe,,0.018,0,2,44.73,0.52,0.05,40,false,base
FMCAD08/Int/protocol/rtp_all.lus,Safe,11,0.389,2,224,55.84,0.85,0.45,0,false,base
FMCAD08/Int/protocol/readwrit.lus,Safe,1,0.055,2,25,45.89,0.54,0.08,0,false,base
FMCAD08/Int/protocol/rtp_1.lus,Safe,2,0.076,2,41,47.59,0.63,0.14,0,false,base
FMCAD08/Int/protocol/rtp_2.lus,Safe,3,0.101,2,58,47.53,0.63,0.14,0,false,base
FMCAD08/Int/protocol/rtp_5.lus,Safe,1,0.058,2,27,51.98,0.52,0.10,0,false,base
FMCAD08/Int/protocol/rtp_3.lus,Safe,2,0.076,2,41,44.24,0.53,0.12,0,false,base
FMCAD08/Int/protocol/peterson_2.lus,Safe,1,0.067,2,27,37.81,0.64,0.14,0,false,base
FMCAD08/Int/protocol/peterson_1_e7_4234.lus,Safe,1,0.076,2,27,47.43,0.53,0.13,0,false,base
FMCAD08/Int/protocol/peterson_1.lus,Safe,1,0.072,2,27,44.82,0.52,0.11,0,false,base
FMCAD08/Int/protocol/peterson_4.lus,Safe,1,0.112,2,27,47.84,0.65,0.17,0,false,base
FMCAD08/Int/protocol/swimmingpool_8.lus,Unsafe,6 2,0.369,2,242,48.27,0.84,0.40,40,false,base
FMCAD08/Int/protocol/rtp_10_e7_106_e7_2564.lus,Safe,2,0.092,2,41,49.56,0.62,0.14,0,false,base
FMCAD08/Int/protocol/rtp_5_e7_3972.lus,Safe,2,0.068,2,31,19.37,0.52,0.11,0,false,base
FMCAD08/Int/protocol/swimmingpool_6_e7_10_e7_341.lus,Unsafe,5 4 2,0.357,3,271,48.69,0.84,0.38,40,false,base
FMCAD08/Int/protocol/swimmingpool_7.lus,Unsafe,8 7 6 4 2,0.949,5,921,50.27,1.46,0.96,40,false,base
FMCAD08/Int/protocol/rtp_all_e7_2500.lus,Safe,16,0.584,2,362,48.84,1.04,0.63,0,false,base
FMCAD08/Int/protocol/swimmingpool_9.lus,Unsafe,10 2,0.714,2,459,50.01,1.18,0.74,40,false,base
FMCAD08/Int/protocol/rtp_10.lus,Safe,1,0.054,2,25,49.07,0.53,0.11,0,false,base
FMCAD08/Int/protocol/rtp_vt.lus,Safe,125 124 122 119 114 110 82 48,77.316,9,25046,128.25,77.85,76.43,0,false,base
FMCAD08/Int/protocol/swimmingpool_5.lus,Unsafe,2 1,0.189,2,88,47.40,0.63,0.23,40,false,base
FMCAD08/Int/protocol/peterson_vt.lus,Unsafe,5 2,0.412,2,170,50.12,0.94,0.48,40,false,base
FMCAD08/Int/misc/ticket3i_2.lus,Safe,2,0.068,2,37,44.00,0.52,0.10,0,false,base
FMCAD08/Int/misc/durationThm_3_e3_442_e5_260.lus,Safe,1,0.036,2,28,33.50,0.53,0.06,0,false,base
FMCAD08/Int/misc/ticket3i_7_e7_3176.lus,Safe,6,0.145,2,100,47.53,0.62,0.18,0,false,base
FMCAD08/Int/misc/durationThm_1_e7_217_e3_132.lus,Safe,3,0.054,2,48,45.90,0.52,0.07,0,false,base
FMCAD08/Int/misc/durationThm_2_e7_145_e8_73.lus,Timeout,,,,,,,,,true,base
FMCAD08/Int/misc/durationThm_2_e7_145_e1_343.lus,Unsafe,,0.013,0,2,20.04,0.42,0.03,40,false,base
FMCAD08/Int/misc/_6counters.lus,Unsafe,33 30 26 23 19 18 16 14 9,6.824,9,7056,65.17,7.28,6.75,40,false,base
FMCAD08/Int/misc/ticket3i_7_e7_3176_e1_2924.lus,Safe,7,0.165,2,119,46.91,0.62,0.20,0,false,base
FMCAD08/Int/misc/durationThm_1_e2_3.lus,Safe,1,0.035,2,23,41.20,0.53,0.06,0,false,base
FMCAD08/Int/misc/durationThm_2_e7_145_e3_222.lus,Safe,4,0.067,2,59,45.65,0.52,0.08,0,false,base
FMCAD08/Int/misc/durationThm_3_e7_334_e2_62.lus,Safe,3,0.076,2,46,19.29,0.52,0.11,0,false,base
FMCAD08/Int/misc/ticket3i_1.lus,Safe,3,0.085,2,54,44.12,0.52,0.12,0,false,base
FMCAD08/Int/misc/durationThm_3.lus,Timeout,,,,,,,,,true,base
FMCAD08/Int/misc/traffic_e7_46_e7_171.lus,Unsafe,,0.013,0,1,31.79,0.52,0.04,40,false,base
FMCAD08/Int/misc/durationThm_2_e7_149.lus,Unsafe,,0.013,0,2,32.53,0.42,0.04,40,false,base
FMCAD08/Int/misc/durationThm_3_e7_334_e3_42.lus,Safe,3,0.053,2,48,45.40,0.54,0.07,0,false,base
FMCAD08/Int/misc/ticket3i_7_e3_59_e7_2122.lus,Safe,6,0.158,2,105,47.26,0.63,0.20,0,false,base
FMCAD08/Int/misc/ex8_e7_74.lus,Unsafe,0,0.025,2,13,20.44,0.54,0.06,40,false,base
FMCAD08/Int/misc/ex8_e7_74_e7_740.lus,Unsafe,0,0.026,2,13,32.24,0.42,0.04,40,false,base
FMCAD08/Int/misc/ticket3i_3_e7_99.lus,Unsafe,,0.020,0,2,21.27,0.52,0.07,40,false,base
FMCAD08/Int/misc/ticket3i_3_e7_1312_e8_1916.lus,Safe,1,0.046,2,24,46.12,0.52,0.08,0,false,base
FMCAD08/Int/misc/ex8_e8_220_e7_249.lus,Unsafe,0,0.025,2,13,44.46,0.52,0.04,40,false,base
FMCAD08/Int/misc/two_counters_e1_268.lus,Unsafe,,0.010,0,2,19.60,0.42,0.03,40,false,base
FMCAD08/Int/misc/durationThm_2.lus,Timeout,,,,,,,,,true,base
FMCAD08/Int/misc/durationThm_3_e1_36.lus,Unsafe,0,0.026,1,9,33.40,0.52,0.04,40,false,base
FMCAD08/Int/misc/ticket3i_all_e8_505_e7_2450.lus,Safe,7,0.196,2,121,47.29,0.63,0.23,0,false,base
FMCAD08/Int/misc/durationThm_1_e1_350.lus,Unsafe,,0.012,0,2,20.02,0.53,0.05,40,false,base
FMCAD08/Int/misc/ticket3i_3_e8_1703_e8_2560.lus,Safe,1,0.048,2,24,45.76,0.54,0.08,0,false,base
FMCAD08/Int/misc/durationThm_1_e3_389.lus,Safe,1,0.035,2,23,45.52,0.53,0.06,0,false,base
FMCAD08/Int/misc/durationThm_3_e3_442_e4_165.lus,Safe,1,0.034,2,24,45.15,0.52,0.05,0,false,base
FMCAD08/Int/misc/durationThm_1_e7_217_e7_31.lus,Unsafe,,0.012,0,2,19.91,0.42,0.03,40,false,base
FMCAD08/Int/misc/durationThm_1.lus,Timeout,,,,,,,,,true,base
FMCAD08/Int/misc/ticket3i_all_e7_591.lus,Safe,6,0.149,2,102,47.29,0.63,0.20,0,false,base
FMCAD08/Int/misc/durationThm_2_e1_301.lus,Timeout,,,,,,,,,true,base
FMCAD08/Int/misc/two_counters_e3_325.lus,Unsafe,0,0.027,1,17,45.16,0.43,0.05,40,false,base
FMCAD08/Int/misc/durationThm_3_e7_334.lus,Timeout,4,0.077,1,46,365.55,300.23,102.60,30,true,base
FMCAD08/Int/misc/_6counters_e8_371_e1_448.lus,Timeout,,,,,,,,,true,base
FMCAD08/Int/misc/ticket3i_3_e8_1703_e7_3491.lus,Unsafe,,0.021,0,2,43.62,0.52,0.06,40,false,base
FMCAD08/Int/misc/ticket3i_1_e7_1669.lus,Safe,3,0.086,2,54,42.37,0.53,0.12,0,false,base
FMCAD08/Int/misc/durationThm_1_e7_217.lus,Unsafe,1,0.042,1,26,45.78,0.53,0.07,40,false,base
FMCAD08/Int/misc/traffic.lus,Safe,2,0.038,2,38,19.30,0.52,0.06,0,false,base
FMCAD08/Int/misc/two_counters_e2_3.lus,Unsafe,0,0.021,1,9,33.06,0.52,0.04,40,false,base
FMCAD08/Int/misc/ticket3i_7_e1_2192_e1_1852.lus,Safe,9,0.203,2,167,47.06,0.64,0.25,0,false,base
FMCAD08/Int/misc/_6counters_e3_140_e8_149.lus,Timeout,,,,,,,,,true,base
FMCAD08/Int/misc/ticket3i_7_e2_2724_e7_524.lus,Safe,6,0.151,2,105,47.15,0.62,0.18,0,false,base
FMCAD08/Int/misc/durationThm_2_e7_145_e2_169.lus,Safe,4,0.060,2,58,45.30,0.52,0.08,0,false,base
FMCAD08/Int/misc/durationThm_2_e7_145_e7_154.lus,Unsafe,,0.012,0,2,32.52,0.43,0.04,40,false,base
FMCAD08/Int/misc/_6counters_e8_371_e7_304.lus,Unsafe,17 14 11 8,1.254,4,1532,50.87,1.78,1.25,40,false,base
FMCAD08/Int/misc/durationThm_2_e3_329_e4_1.lus,Safe,2,0.043,2,33,43.90,0.53,0.06,0,false,base
FMCAD08/Int/misc/_6countern.lus,Unsafe,,0.006,0,1,19.23,0.42,0.03,40,false,base
FMCAD08/Int/misc/durationThm_3_e7_334_e7_118.lus,Unsafe,,0.010,0,1,32.40,0.44,0.04,40,false,base
FMCAD08/Int/misc/ticket3i_3_e8_1703.lus,Safe,2,0.068,2,37,45.75,0.53,0.11,0,false,base
FMCAD08/Int/misc/ticket3i_4.lus,Safe,2,0.063,2,39,46.29,0.52,0.09,0,false,base
FMCAD08/Int/misc/ticket3i_3_e7_1312_e7_1495.lus,Unsafe,,0.025,0,2,43.79,0.53,0.09,40,false,base
FMCAD08/Int/misc/durationThm_1_e7_217_e1_89.lus,Unsafe,,0.013,0,2,32.91,0.44,0.04,40,false,base
FMCAD08/Int/misc/durationThm_3_e7_334_e1_431.lus,Unsafe,0,0.025,1,9,33.65,0.52,0.04,40,false,base
FMCAD08/Int/misc/ex8.lus,Unsafe,0,0.026,2,13,20.29,0.52,0.05,40,false,base
FMCAD08/Int/misc/_6counters_e8_371_e2_80.lus,Safe,0,0.020,2,12,32.27,0.54,0.04,0,false,base
FMCAD08/Int/misc/two_counters.lus,Safe,27 25 23 19 12,1.149,6,1782,50.42,1.58,1.14,0,false,base
FMCAD08/Int/misc/durationThm_3_e3_207.lus,Safe,1,0.036,2,28,45.29,0.55,0.06,0,false,base
FMCAD08/Int/misc/ticket3i_3.lus,Safe,1,0.045,2,24,19.53,0.53,0.08,0,false,base
FMCAD08/Int/misc/durationThm_2_e3_329_e5_124.lus,Safe,2,0.043,2,33,45.68,0.52,0.06,0,false,base
FMCAD08/Int/misc/_6counters_e8_371_e3_224.lus,Timeout,,,,,,,,,true,base
FMCAD08/Int/misc/ex8_e7_74_e8_302.lus,Unsafe,0,0.025,2,13,44.58,0.53,0.04,40,false,base
FMCAD08/Int/misc/ticket3i_all_e3_557_e7_3464.lus,Safe,6,0.126,2,85,47.17,0.63,0.16,0,false,base
FMCAD08/Int/misc/ticket3i_5_e7_3307.lus,Safe,2,0.070,2,39,43.75,0.52,0.10,0,false,base
FMCAD08/Int/misc/two_counters_e7_222.lus,Unsafe,,0.010,0,2,19.81,0.43,0.03,40,false,base
FMCAD08/Int/misc/traffic_e7_46.lus,Unsafe,,0.009,0,1,19.38,0.42,0.03,40,false,base
FMCAD08/Int/misc/twisted_counters.lus,Safe,22 20 16 13 9,2.017,6,2787,54.61,2.49,1.98,0,false,base
FMCAD08/Int/misc/durationThm_1_e3_389_e5_5.lus,Safe,1,0.036,2,23,46.09,0.52,0.05,0,false,base
FMCAD08/Int/misc/durationThm_2_e2_63.lus,Safe,3,0.052,2,45,45.40,0.52,0.07,0,false,base
FMCAD08/Int/misc/durationThm_2_e3_99.lus,Safe,2,0.043,2,33,41.90,0.53,0.07,0,false,base
FMCAD08/Int/misc/ticket3i_all_e2_1117_e7_553.lus,Safe,6,0.147,2,105,47.33,0.63,0.18,0,false,base
FMCAD08/Int/misc/ticket3i_7.lus,Safe,6,0.140,2,105,47.31,0.62,0.17,0,false,base
FMCAD08/Int/misc/ticket3i_4_e7_1775_e7_3320.lus,Safe,2,0.061,2,34,44.25,0.52,0.09,0,false,base
FMCAD08/Int/misc/durationThm_1_e3_389_e4_294.lus,Safe,1,0.033,2,23,33.53,0.43,0.05,0,false,base
FMCAD08/Int/misc/ticket3i_all.lus,Safe,6,0.138,2,105,47.17,0.63,0.17,0,false,base
FMCAD08/Int/misc/durationThm_1_e7_217_e2_352.lus,Safe,3,0.055,2,50,42.73,0.53,0.08,0,false,base
FMCAD08/Int/misc/ticket3i_7_e8_2126_e7_78.lus,Safe,6,0.148,2,100,47.66,0.64,0.18,0,false,base
FMCAD08/Int/misc/ticket3i_all_e1_2706_e7_1776.lus,Safe,6,0.147,2,102,46.79,0.63,0.19,0,false,base
FMCAD08/Int/misc/durationThm_3_e2_63.lus,Safe,1,0.034,2,24,45.39,0.53,0.06,0,false,base
FMCAD08/Int/misc/ticket3i_5.lus,Safe,2,0.062,2,39,43.17,0.52,0.10,0,false,base
FMCAD08/Int/misc/ticket3i_6_e7_1096_e7_2688.lus,Safe,2,0.066,2,39,46.17,0.52,0.09,0,false,base
