filename,property_result,frame_sizes,total_time,k,solver,max_memory(MB),execution_time(s),cpu_time(s),exit_code,timed_out,variant
FMCAD08/Bool/misc/stalmark_e8_64_e7_80.lus,Unsafe,0,0.073,1,9,71.00,0.53,0.10,40,false,base_x3
FMCAD08/Bool/misc/stalmark_e7_27.lus,Safe,6 5 3,0.112,4,201,89.15,0.52,0.33,0,false,base_x3
FMCAD08/Bool/misc/switch.lus,Error,,,,,12.75,0.11,0.01,3,false,base_x3
FMCAD08/Bool/misc/switch2.lus,Error,,,,,11.62,0.11,0.01,3,false,base_x3
FMCAD08/Bool/misc/stalmark_e8_64_e8_207.lus,Unsafe,,0.007,0,1,32.71,0.42,0.05,40,false,base_x3
FMCAD08/Bool/misc/_6counter2.lus,Unsafe,3 2 1 0,0.135,4,202,88.55,0.63,0.41,40,false,base_x3
FMCAD08/Bool/misc/stalmark_e7_27_e7_31.lus,Safe,6 5 3,0.122,4,196,87.74,0.63,0.38,0,false,base_x3
FMCAD08/Bool/misc/_6counter.lus,Unsafe,7 5 3 2 1,0.408,5,661,94.61,0.84,1.17,40,false,base_x3
FMCAD08/Bool/misc/stalmark_e8_48.lus,Unsafe,,0.007,0,2,58.50,0.42,0.05,40,false,base_x3
FMCAD08/Bool/misc/stalmark.lus,Safe,4 2,0.091,3,145,90.75,0.52,0.27,0,false,base_x3
FMCAD08/Bool/misc/stalmark_e7_76.lus,Safe,6 5 3,0.110,4,201,89.25,0.52,0.32,0,false,base_x3
FMCAD08/Bool/simulation/ums_e8_1032.lus,Safe,3,0.118,2,46,88.88,0.63,0.37,0,false,base_x3
FMCAD08/Bool/simulation/production_cell_e7_207_e7_41.lus,Unsafe,,0.025,0,2,21.27,0.55,0.14,40,false,base_x3
FMCAD08/Bool/simulation/tramway.lus,Safe,10 8 4,0.655,4,732,104.30,1.15,1.95,0,false,base_x3
FMCAD08/Bool/simulation/ums_e7_1700.lus,Unsafe,7,0.307,1,141,99.89,0.73,0.96,40,false,base_x3
FMCAD08/Bool/simulation/production_cell_e7_21.lus,Unsafe,,0.016,0,2,63.75,0.52,0.08,40,false,base_x3
FMCAD08/Bool/simulation/production_cell_e7_207_e8_241.lus,Safe,5,0.082,2,73,95.37,0.52,0.26,0,false,base_x3
FMCAD08/Bool/simulation/tramway_e7_1834_e8_3192.lus,Safe,10 8 4,0.644,4,732,102.86,1.05,1.90,0,false,base_x3
FMCAD08/Bool/simulation/production_cell_e8_6.lus,Safe,5,0.082,2,74,95.00,0.52,0.26,0,false,base_x3
FMCAD08/Bool/simulation/tramway_e7_1834_e7_2363.lus,Safe,4,0.099,2,64,96.32,0.52,0.32,0,false,base_x3
FMCAD08/Bool/simulation/ums.lus,Safe,2,0.095,2,33,90.25,0.52,0.30,0,false,base_x3
FMCAD08/Bool/simulation/production_cell.lus,Safe,5,0.082,2,73,93.62,0.52,0.26,0,false,base_x3
FMCAD08/Bool/simulation/tramway_e7_1834.lus,Safe,3,0.079,2,47,90.95,0.52,0.25,0,false,base_x3
FMCAD08/Bool/simulation/production_cell_e8_6_e7_651.lus,Unsafe,,0.016,0,2,21.38,0.42,0.08,40,false,base_x3
FMCAD08/Bool/simulation/production_cell_e8_6_e8_427.lus,Unsafe,3,0.078,1,53,94.62,0.52,0.25,40,false,base_x3
FMCAD08/Int/protocol/swimmingpool_4_e7_2197.lus,Unsafe,6 4,0.274,2,169,105.20,0.86,0.79,40,false,base_x3
FMCAD08/Int/protocol/rtp_9.lus,Safe,1,0.058,2,25,41.34,0.53,0.23,0,false,base_x3
FMCAD08/Int/protocol/rtp_6.lus,Safe,2,0.086,2,41,91.23,0.52,0.30,0,false,base_x3
FMCAD08/Int/protocol/swimmingpool_6.lus,Unsafe,6 3 1,0.607,3,355,109.32,1.16,1.88,40,false,base_x3
FMCAD08/Int/protocol/rtp_7.lus,Safe,1,0.056,2,27,50.46,0.52,0.21,0,false,base_x3
FMCAD08/Int/protocol/swimmingpool_6_e7_399.lus,Unsafe,13 9 4,1.206,3,840,117.93,1.67,3.64,40,false,base_x3
FMCAD08/Int/protocol/rtp_4.lus,Safe,2,0.090,2,39,66.10,0.52,0.32,0,false,base_x3
FMCAD08/Int/protocol/swimmingpool_1_e7_1621.lus,Unsafe,5 4,0.221,2,115,104.29,0.73,0.68,40,false,base_x3
FMCAD08/Int/protocol/rtp_8.lus,Safe,1,0.057,2,25,25.08,0.54,0.23,0,false,base_x3
FMCAD08/Int/protocol/swimmingpool_4.lus,Unsafe,3 2,0.139,2,84,103.06,0.64,0.46,40,false,base_x3
FMCAD08/Int/protocol/peterson_all.lus,Safe,7,0.308,2,134,107.55,0.84,1.01,0,false,base_x3
FMCAD08/Int/protocol/peterson_3.lus,Safe,2,0.102,2,41,106.56,0.63,0.35,0,false,base_x3
