filename,property_result,frame_sizes,total_time,k,solver,max_memory(MB),execution_time(s),cpu_time(s),exit_code,timed_out,variant
FMCAD08/Bool/misc/stalmark_e8_64_e7_80.lus,Unsafe,0,0.018,1,9,32.55,0.52,0.04,40,false,desc_l2l1
FMCAD08/Bool/misc/stalmark_e7_27.lus,Safe,6 5 3,0.103,4,191,42.68,0.52,0.12,0,false,desc_l2l1
FMCAD08/Bool/misc/switch.lus,Error,,,,,11.50,0.11,0.01,3,false,desc_l2l1
FMCAD08/Bool/misc/switch2.lus,Error,,,,,11.75,0.11,0.01,3,false,desc_l2l1
FMCAD08/Bool/misc/stalmark_e8_64_e8_207.lus,Unsafe,,0.007,0,1,19.12,0.42,0.03,40,false,desc_l2l1
FMCAD08/Bool/misc/_6counter2.lus,Unsafe,4 3 1 0,0.144,4,248,43.34,0.63,0.16,40,false,desc_l2l1
FMCAD08/Bool/misc/stalmark_e7_27_e7_31.lus,Safe,6 5 3,0.100,4,198,42.93,0.52,0.11,0,false,desc_l2l1
FMCAD08/Bool/misc/_6counter.lus,Unsafe,7 5 3 2 1,0.365,5,661,45.18,0.85,0.36,40,false,desc_l2l1
FMCAD08/Bool/misc/stalmark_e8_48.lus,Unsafe,,0.008,0,2,32.26,0.42,0.03,40,false,desc_l2l1
FMCAD08/Bool/misc/stalmark.lus,Safe,4 2,0.086,3,145,42.68,0.53,0.10,0,false,desc_l2l1
FMCAD08/Bool/misc/stalmark_e7_76.lus,Safe,6 5 3,0.098,4,191,43.06,0.53,0.11,0,false,desc_l2l1
FMCAD08/Bool/simulation/ums_e8_1032.lus,Safe,3,0.112,2,46,45.37,0.63,0.14,0,false,desc_l2l1
FMCAD08/Bool/simulation/production_cell_e7_207_e7_41.lus,Unsafe,,0.016,0,2,21.02,0.53,0.05,40,false,desc_l2l1
FMCAD08/Bool/simulation/tramway.lus,Safe,10 8 4,0.571,4,713,47.70,1.04,0.57,0,false,desc_l2l1
FMCAD08/Bool/simulation/ums_e7_1700.lus,Unsafe,8,0.303,1,146,46.46,0.85,0.37,40,false,desc_l2l1
FMCAD08/Bool/simulation/production_cell_e7_21.lus,Unsafe,,0.017,0,2,41.80,0.55,0.06,40,false,desc_l2l1
FMCAD08/Bool/simulation/production_cell_e7_207_e8_241.lus,Safe,5,0.081,2,73,44.34,0.53,0.10,0,false,desc_l2l1
FMCAD08/Bool/simulation/tramway_e7_1834_e8_3192.lus,Safe,10 8 4,0.564,4,713,47.81,1.04,0.56,0,false,desc_l2l1
FMCAD08/Bool/simulation/production_cell_e8_6.lus,Safe,5,0.078,2,74,41.61,0.54,0.10,0,false,desc_l2l1
FMCAD08/Bool/simulation/tramway_e7_1834_e7_2363.lus,Safe,4,0.092,2,64,45.34,0.52,0.11,0,false,desc_l2l1
FMCAD08/Bool/simulation/ums.lus,Safe,4,0.144,2,68,45.49,0.63,0.17,0,false,desc_l2l1
FMCAD08/Bool/simulation/production_cell.lus,Safe,5,0.075,2,73,41.59,0.52,0.10,0,false,desc_l2l1
FMCAD08/Bool/simulation/tramway_e7_1834.lus,Safe,3,0.075,2,47,44.96,0.52,0.10,0,false,desc_l2l1
FMCAD08/Bool/simulation/production_cell_e8_6_e7_651.lus,Unsafe,,0.017,0,2,21.11,0.53,0.06,40,false,desc_l2l1
FMCAD08/Bool/simulation/production_cell_e8_6_e8_427.lus,Unsafe,3,0.074,1,53,44.55,0.52,0.10,40,false,desc_l2l1
FMCAD08/Int/protocol/swimmingpool_4_e7_2197.lus,Unsafe,5 3,0.209,2,152,47.54,0.75,0.25,40,false,desc_l2l1
FMCAD08/Int/protocol/rtp_9.lus,Safe,1,0.057,2,25,19.49,0.52,0.10,0,false,desc_l2l1
FMCAD08/Int/protocol/rtp_6.lus,Safe,2,0.083,2,41,47.52,0.62,0.13,0,false,desc_l2l1
FMCAD08/Int/protocol/swimmingpool_6.lus,Unsafe,9 8 5 2,0.720,4,607,49.90,1.14,0.73,40,false,desc_l2l1
FMCAD08/Int/protocol/rtp_7.lus,Safe,1,0.057,2,27,19.58,0.52,0.10,0,false,desc_l2l1
FMCAD08/Int/protocol/swimmingpool_6_e7_399.lus,Unsafe,9 7 3,0.626,3,486,49.15,1.04,0.65,40,false,desc_l2l1
FMCAD08/Int/protocol/rtp_4.lus,Safe,2,0.083,2,39,19.58,0.53,0.14,0,false,desc_l2l1
FMCAD08/Int/protocol/swimmingpool_1_e7_1621.lus,Unsafe,5 4,0.245,2,115,48.08,0.73,0.27,40,false,desc_l2l1
FMCAD08/Int/protocol/rtp_8.lus,Safe,1,0.057,2,25,31.95,0.53,0.10,0,false,desc_l2l1
FMCAD08/Int/protocol/swimmingpool_4.lus,Unsafe,3 2,0.134,2,84,47.56,0.64,0.16,40,false,desc_l2l1
FMCAD08/Int/protocol/peterson_all.lus,Safe,7,0.275,2,134,56.95,0.74,0.32,0,false,desc_l2l1
FMCAD08/Int/protocol/peterson_3.lus,Safe,2,0.097,2,41,35.05,0.63,0.14,0,false,desc_l2l1
FMCAD08/Int/protocol/swimmingpool_3.lus,Unsafe,1,0.094,1,52,43.51,0.53,0.14,40,false,desc_l2l1
FMCAD08/Int/protocol/swimmingpool_1.lus,Unsafe,9 7 5 2,0.863,4,628,50.91,1.36,0.88,40,false,desc_l2l1
FMCAD08/Int/protocol/swimmingpool_2.lus,Unsafe,,0.018,0,2,33.59,0.52,0.05,40,false,desc_l2l1
FMCAD08/Int/protocol/rtp_all.lus,Safe,11,0.411,2,230,49.59,0.94,0.46,0,false,desc_l2l1
FMCAD08/Int/protocol/readwrit.lus,Safe,1,0.059,2,25,44.09,0.52,0.09,0,false,desc_l2l1
FMCAD08/Int/protocol/rtp_1.lus,Safe,2,0.078,2,39,31.75,0.53,0.13,0,false,desc_l2l1
FMCAD08/Int/protocol/rtp_2.lus,Safe,3,0.099,2,58,44.69,0.62,0.14,0,false,desc_l2l1
FMCAD08/Int/protocol/rtp_5.lus,Safe,1,0.057,2,27,51.98,0.53,0.11,0,false,desc_l2l1
FMCAD08/Int/protocol/rtp_3.lus,Safe,2,0.081,2,41,44.23,0.52,0.13,0,false,desc_l2l1
FMCAD08/Int/protocol/peterson_2.lus,Safe,1,0.068,2,27,19.47,0.52,0.12,0,false,desc_l2l1
FMCAD08/Int/protocol/peterson_1_e7_4234.lus,Safe,1,0.117,2,27,48.60,0.64,0.17,0,false,desc_l2l1
FMCAD08/Int/protocol/peterson_1.lus,Safe,1,0.073,2,27,49.43,0.54,0.12,0,false,desc_l2l1
FMCAD08/Int/protocol/peterson_4.lus,Safe,1,0.070,2,27,32.22,0.52,0.12,0,false,desc_l2l1
FMCAD08/Int/protocol/swimmingpool_8.lus,Unsafe,12 8 3,0.857,3,635,51.30,1.35,0.87,40,false,desc_l2l1
FMCAD08/Int/protocol/rtp_10_e7_106_e7_2564.lus,Safe,2,0.090,2,41,35.11,0.52,0.13,0,false,desc_l2l1
FMCAD08/Int/protocol/rtp_5_e7_3972.lus,Safe,2,0.068,2,31,47.64,0.62,0.11,0,false,desc_l2l1
FMCAD08/Int/protocol/swimmingpool_6_e7_10_e7_341.lus,Unsafe,19 16 10 3,1.603,4,1269,53.55,2.07,1.62,40,false,desc_l2l1
FMCAD08/Int/protocol/swimmingpool_7.lus,Unsafe,5 2,0.319,2,202,48.43,0.73,0.34,40,false,desc_l2l1
FMCAD08/Int/protocol/rtp_all_e7_2500.lus,Safe,15,0.557,2,342,52.90,1.04,0.60,0,false,desc_l2l1
FMCAD08/Int/protocol/swimmingpool_9.lus,Unsafe,19 15 13 11 8 5 3,4.344,7,3373,59.14,4.76,4.33,40,false,desc_l2l1
FMCAD08/Int/protocol/rtp_10.lus,Safe,1,0.056,2,25,19.46,0.52,0.10,0,false,desc_l2l1
FMCAD08/Int/protocol/rtp_vt.lus,Safe,101 100 98 95 90 87 81 72,69.580,9,24762,117.00,70.11,68.92,0,false,desc_l2l1
FMCAD08/Int/protocol/swimmingpool_5.lus,Unsafe,2 1,0.161,2,90,47.81,0.63,0.19,40,false,desc_l2l1
FMCAD08/Int/protocol/peterson_vt.lus,Unsafe,8 4,0.505,2,240,57.88,1.04,0.56,40,false,desc_l2l1
FMCAD08/Int/misc/ticket3i_2.lus,Safe,2,0.065,2,37,33.55,0.52,0.10,0,false,desc_l2l1
FMCAD08/Int/misc/durationThm_3_e3_442_e5_260.lus,Safe,1,0.060,2,28,43.03,0.56,0.10,0,false,desc_l2l1
FMCAD08/Int/misc/ticket3i_7_e7_3176.lus,Safe,6,0.149,2,100,47.82,0.63,0.19,0,false,desc_l2l1
FMCAD08/Int/misc/durationThm_1_e7_217_e3_132.lus,Safe,3,0.062,2,48,45.95,0.55,0.09,0,false,desc_l2l1
FMCAD08/Int/misc/durationThm_2_e7_145_e8_73.lus,Timeout,,,,,,,,,true,desc_l2l1
