filename,property_result,frame_sizes,total_time,k,solver,max_memory(MB),execution_time(s),cpu_time(s),exit_code,timed_out,variant
FMCAD08/Bool/misc/stalmark_e8_64_e7_80.lus,Unsafe,0,0.017,1,9,60.57,0.42,0.06,40,false,pic3
FMCAD08/Bool/misc/stalmark_e7_27.lus,Safe,6 5 3,0.108,4,201,90.31,0.52,0.30,0,false,pic3
FMCAD08/Bool/misc/switch.lus,Error,,,,,11.88,0.11,0.01,3,false,pic3
FMCAD08/Bool/misc/switch2.lus,Error,,,,,11.50,0.11,0.01,3,false,pic3
FMCAD08/Bool/misc/stalmark_e8_64_e8_207.lus,Unsafe,,0.006,0,1,19.77,0.42,0.05,40,false,pic3
FMCAD08/Bool/misc/_6counter2.lus,Unsafe,3 2 1 0,0.108,4,202,89.19,0.53,0.34,40,false,pic3
FMCAD08/Bool/misc/stalmark_e7_27_e7_31.lus,Safe,6 5 3,0.104,4,196,89.28,0.52,0.30,0,false,pic3
FMCAD08/Bool/misc/_6counter.lus,Unsafe,7 5 3 2 1,0.381,5,661,95.69,0.84,1.09,40,false,pic3
FMCAD08/Bool/misc/stalmark_e8_48.lus,Unsafe,,0.007,0,2,58.81,0.42,0.05,40,false,pic3
FMCAD08/Bool/misc/stalmark.lus,Safe,4 2,0.088,3,145,90.22,0.52,0.26,0,false,pic3
FMCAD08/Bool/misc/stalmark_e7_76.lus,Safe,6 5 3,0.108,4,201,89.72,0.52,0.31,0,false,pic3
FMCAD08/Bool/simulation/ums_e8_1032.lus,Safe,3,0.114,2,46,89.23,0.63,0.40,0,false,pic3
FMCAD08/Bool/simulation/production_cell_e7_207_e7_41.lus,Unsafe,,0.016,0,2,63.45,0.43,0.08,40,false,pic3
FMCAD08/Bool/simulation/tramway.lus,Safe,7 3,0.358,3,399,100.38,0.73,1.03,0,false,pic3
FMCAD08/Bool/simulation/ums_e7_1700.lus,Unsafe,7,0.296,1,141,100.45,0.73,0.97,40,false,pic3
FMCAD08/Bool/simulation/production_cell_e7_21.lus,Unsafe,,0.016,0,2,63.30,0.52,0.08,40,false,pic3
FMCAD08/Bool/simulation/production_cell_e7_207_e8_241.lus,Safe,5,0.079,2,73,95.30,0.54,0.25,0,false,pic3
FMCAD08/Bool/simulation/tramway_e7_1834_e8_3192.lus,Safe,3 1 0,0.385,3,421,100.63,0.84,1.08,0,false,pic3
FMCAD08/Bool/simulation/production_cell_e8_6.lus,Safe,5,0.079,2,74,94.97,0.52,0.25,0,false,pic3
FMCAD08/Bool/simulation/tramway_e7_1834_e7_2363.lus,Safe,4,0.094,2,64,97.01,0.53,0.29,0,false,pic3
FMCAD08/Bool/simulation/ums.lus,Safe,2,0.092,2,33,90.11,0.53,0.38,0,false,pic3
FMCAD08/Bool/simulation/production_cell.lus,Safe,5,0.079,2,73,95.06,0.52,0.25,0,false,pic3
FMCAD08/Bool/simulation/tramway_e7_1834.lus,Safe,3,0.078,2,47,91.08,0.53,0.25,0,false,pic3
FMCAD08/Bool/simulation/production_cell_e8_6_e7_651.lus,Unsafe,,0.015,0,2,21.23,0.42,0.08,40,false,pic3
FMCAD08/Bool/simulation/production_cell_e8_6_e8_427.lus,Unsafe,3,0.075,1,53,94.56,0.54,0.25,40,false,pic3
FMCAD08/Int/protocol/swimmingpool_4_e7_2197.lus,Unsafe,4 3,0.185,2,137,104.04,0.63,0.50,40,false,pic3
FMCAD08/Int/protocol/rtp_9.lus,Safe,1,0.058,2,25,20.33,0.52,0.21,0,false,pic3
FMCAD08/Int/protocol/rtp_6.lus,Safe,2,0.083,2,41,94.41,0.52,0.28,0,false,pic3
FMCAD08/Int/protocol/swimmingpool_6.lus,Unsafe,4 3 1,0.308,3,233,105.29,0.75,0.97,40,false,pic3
FMCAD08/Int/protocol/rtp_7.lus,Safe,1,0.055,2,27,32.02,0.52,0.20,0,false,pic3
FMCAD08/Int/protocol/swimmingpool_6_e7_399.lus,Unsafe,4 3 2,0.335,3,229,105.29,0.84,1.09,40,false,pic3
FMCAD08/Int/protocol/rtp_4.lus,Safe,2,0.091,2,39,66.04,0.52,0.31,0,false,pic3
FMCAD08/Int/protocol/swimmingpool_1_e7_1621.lus,Unsafe,5 4,0.210,2,115,104.22,0.63,0.66,40,false,pic3
FMCAD08/Int/protocol/rtp_8.lus,Safe,1,0.057,2,25,20.21,0.52,0.21,0,false,pic3
FMCAD08/Int/protocol/swimmingpool_4.lus,Unsafe,3 2,0.136,2,84,102.43,0.52,0.39,40,false,pic3
FMCAD08/Int/protocol/peterson_all.lus,Safe,5,0.211,2,93,104.83,0.63,0.68,0,false,pic3
FMCAD08/Int/protocol/peterson_3.lus,Safe,2,0.099,2,41,66.41,0.64,0.34,0,false,pic3
FMCAD08/Int/protocol/swimmingpool_3.lus,Unsafe,1,0.086,1,50,100.25,0.53,0.26,40,false,pic3
FMCAD08/Int/protocol/swimmingpool_1.lus,Unsafe,8 6 4 2,0.976,4,660,112.48,1.36,2.96,40,false,pic3
FMCAD08/Int/protocol/swimmingpool_2.lus,Unsafe,,0.018,0,2,62.50,0.52,0.09,40,false,pic3
FMCAD08/Int/protocol/rtp_all.lus,Safe,11,0.397,2,224,108.24,0.83,1.19,0,false,pic3
FMCAD08/Int/protocol/readwrit.lus,Safe,1,0.055,2,25,99.79,0.54,0.18,0,false,pic3
FMCAD08/Int/protocol/rtp_1.lus,Safe,2,0.076,2,41,104.20,0.63,0.26,0,false,pic3
FMCAD08/Int/protocol/rtp_2.lus,Safe,3,0.100,2,58,65.93,0.64,0.33,0,false,pic3
FMCAD08/Int/protocol/rtp_5.lus,Safe,1,0.058,2,27,20.33,0.52,0.20,0,false,pic3
FMCAD08/Int/protocol/rtp_3.lus,Safe,2,0.078,2,41,94.35,0.52,0.27,0,false,pic3
FMCAD08/Int/protocol/peterson_2.lus,Safe,1,0.066,2,27,20.18,0.52,0.24,0,false,pic3
FMCAD08/Int/protocol/peterson_1_e7_4234.lus,Safe,1,0.073,2,27,66.57,0.52,0.26,0,false,pic3
FMCAD08/Int/protocol/peterson_1.lus,Safe,1,0.072,2,27,93.32,0.52,0.25,0,false,pic3
FMCAD08/Int/protocol/peterson_4.lus,Safe,1,0.072,2,27,47.05,0.53,0.25,0,false,pic3
FMCAD08/Int/protocol/swimmingpool_8.lus,Unsafe,6 2,0.382,2,242,106.54,0.95,1.39,40,false,pic3
FMCAD08/Int/protocol/rtp_10_e7_106_e7_2564.lus,Safe,2,0.092,2,41,67.02,0.52,0.31,0,false,pic3
FMCAD08/Int/protocol/rtp_5_e7_3972.lus,Safe,2,0.068,2,31,95.79,0.52,0.24,0,false,pic3
FMCAD08/Int/protocol/swimmingpool_6_e7_10_e7_341.lus,Unsafe,5 4 2,0.370,3,271,106.89,0.84,1.15,40,false,pic3
FMCAD08/Int/protocol/swimmingpool_7.lus,Unsafe,6 2,0.313,2,270,105.38,0.73,0.95,40,false,pic3
FMCAD08/Int/protocol/rtp_all_e7_2500.lus,Safe,16,0.597,2,362,108.29,1.04,1.81,0,false,pic3
FMCAD08/Int/protocol/swimmingpool_9.lus,Unsafe,10 2,0.797,2,459,111.48,1.25,2.50,40,false,pic3
FMCAD08/Int/protocol/rtp_10.lus,Safe,1,0.056,2,25,20.11,0.52,0.20,0,false,pic3
FMCAD08/Int/protocol/rtp_vt.lus,Safe,73 72 70 67 63 57 34,27.288,7,11429,264.19,58.65,172.47,0,false,pic3
FMCAD08/Int/protocol/swimmingpool_5.lus,Unsafe,2 1,0.157,2,88,104.38,0.63,0.50,40,false,pic3
FMCAD08/Int/protocol/peterson_vt.lus,Unsafe,5 2,0.406,2,171,109.65,0.94,1.28,40,false,pic3
FMCAD08/Int/misc/ticket3i_2.lus,Safe,2,0.067,2,37,94.58,0.54,0.23,0,false,pic3
FMCAD08/Int/misc/durationThm_3_e3_442_e5_260.lus,Safe,1,0.036,2,28,100.01,0.52,0.12,0,false,pic3
FMCAD08/Int/misc/ticket3i_7_e7_3176.lus,Safe,6,0.150,2,100,103.78,0.63,0.47,0,false,pic3
FMCAD08/Int/misc/durationThm_1_e7_217_e3_132.lus,Safe,3,0.055,2,48,99.38,0.52,0.17,0,false,pic3
FMCAD08/Int/misc/durationThm_2_e7_145_e8_73.lus,Timeout,,,,,,,,,true,pic3
FMCAD08/Int/misc/durationThm_2_e7_145_e1_343.lus,Unsafe,,0.012,0,2,20.41,0.43,0.06,40,false,pic3
FMCAD08/Int/misc/_6counters.lus,Unsafe,33 30 26 23 19 18 16 14 9,7.158,9,6910,150.82,7.53,20.90,40,false,pic3
FMCAD08/Int/misc/ticket3i_7_e7_3176_e1_2924.lus,Safe,7,0.168,2,119,103.67,0.63,0.53,0,false,pic3
FMCAD08/Int/misc/durationThm_1_e2_3.lus,Safe,1,0.037,2,23,95.80,0.52,0.12,0,false,pic3
FMCAD08/Int/misc/durationThm_2_e7_145_e3_222.lus,Safe,4,0.064,2,59,99.39,0.52,0.18,0,false,pic3
FMCAD08/Int/misc/durationThm_3_e7_334_e2_62.lus,Safe,3,0.055,2,46,99.52,0.52,0.19,0,false,pic3
FMCAD08/Int/misc/ticket3i_1.lus,Safe,3,0.079,2,54,102.07,0.52,0.26,0,false,pic3
FMCAD08/Int/misc/durationThm_3.lus,Timeout,,,,,,,,,true,pic3
FMCAD08/Int/misc/traffic_e7_46_e7_171.lus,Unsafe,,0.008,0,1,19.94,0.42,0.05,40,false,pic3
FMCAD08/Int/misc/durationThm_2_e7_149.lus,Unsafe,,0.012,0,2,59.58,0.42,0.06,40,false,pic3
FMCAD08/Int/misc/durationThm_3_e7_334_e3_42.lus,Safe,3,0.056,2,48,99.61,0.54,0.20,0,false,pic3
FMCAD08/Int/misc/ticket3i_7_e3_59_e7_2122.lus,Safe,6,0.155,2,105,102.79,0.64,0.49,0,false,pic3
FMCAD08/Int/misc/ex8_e7_74.lus,Unsafe,0,0.025,2,13,59.50,0.52,0.08,40,false,pic3
FMCAD08/Int/misc/ex8_e7_74_e7_740.lus,Unsafe,0,0.025,2,13,61.25,0.42,0.08,40,false,pic3
FMCAD08/Int/misc/ticket3i_3_e7_99.lus,Unsafe,,0.019,0,2,99.12,0.52,0.11,40,false,pic3
FMCAD08/Int/misc/ticket3i_3_e7_1312_e8_1916.lus,Safe,1,0.050,2,24,99.89,0.52,0.18,0,false,pic3
FMCAD08/Int/misc/ex8_e8_220_e7_249.lus,Unsafe,0,0.025,2,13,61.00,0.42,0.08,40,false,pic3
FMCAD08/Int/misc/two_counters_e1_268.lus,Unsafe,,0.010,0,2,19.91,0.52,0.05,40,false,pic3
FMCAD08/Int/misc/durationThm_2.lus,Timeout,,,,,,,,,true,pic3
FMCAD08/Int/misc/durationThm_3_e1_36.lus,Unsafe,0,0.025,1,9,63.67,0.52,0.09,40,false,pic3
FMCAD08/Int/misc/ticket3i_all_e8_505_e7_2450.lus,Safe,7,0.171,2,121,103.73,0.63,0.53,0,false,pic3
FMCAD08/Int/misc/durationThm_1_e1_350.lus,Unsafe,,0.011,0,2,60.11,0.43,0.07,40,false,pic3
FMCAD08/Int/misc/ticket3i_3_e8_1703_e8_2560.lus,Safe,1,0.049,2,24,98.96,0.53,0.18,0,false,pic3
FMCAD08/Int/misc/durationThm_1_e3_389.lus,Safe,1,0.035,2,23,100.52,0.53,0.12,0,false,pic3
FMCAD08/Int/misc/durationThm_3_e3_442_e4_165.lus,Safe,1,0.034,2,24,62.88,0.54,0.11,0,false,pic3
FMCAD08/Int/misc/durationThm_1_e7_217_e7_31.lus,Unsafe,,0.012,0,2,20.69,0.54,0.07,40,false,pic3
FMCAD08/Int/misc/durationThm_1.lus,Timeout,,,,,,,,,true,pic3
FMCAD08/Int/misc/ticket3i_all_e7_591.lus,Safe,6,0.148,2,102,104.18,0.65,0.47,0,false,pic3
FMCAD08/Int/misc/durationThm_2_e1_301.lus,Timeout,,,,,,,,,true,pic3
FMCAD08/Int/misc/two_counters_e3_325.lus,Unsafe,0,0.027,1,17,61.73,0.53,0.10,40,false,pic3
FMCAD08/Int/misc/durationThm_3_e7_334.lus,Unsafe,2 0,0.125,2,114,91.80,0.63,0.36,40,false,pic3
FMCAD08/Int/misc/_6counters_e8_371_e1_448.lus,Timeout,,,,,,,,,true,pic3
FMCAD08/Int/misc/ticket3i_3_e8_1703_e7_3491.lus,Unsafe,,0.020,0,2,100.45,0.53,0.11,40,false,pic3
FMCAD08/Int/misc/ticket3i_1_e7_1669.lus,Safe,3,0.087,2,54,94.97,0.52,0.28,0,false,pic3
FMCAD08/Int/misc/durationThm_1_e7_217.lus,Unsafe,1,0.044,1,26,99.65,0.55,0.16,40,false,pic3
FMCAD08/Int/misc/traffic.lus,Safe,2,0.039,2,38,98.49,0.52,0.13,0,false,pic3
FMCAD08/Int/misc/two_counters_e2_3.lus,Unsafe,0,0.021,1,9,60.73,0.52,0.08,40,false,pic3
FMCAD08/Int/misc/ticket3i_7_e1_2192_e1_1852.lus,Safe,9,0.207,2,167,104.32,0.74,0.68,0,false,pic3
FMCAD08/Int/misc/_6counters_e3_140_e8_149.lus,Timeout,,,,,,,,,true,pic3
FMCAD08/Int/misc/ticket3i_7_e2_2724_e7_524.lus,Safe,6,0.154,2,105,104.50,0.65,0.49,0,false,pic3
FMCAD08/Int/misc/durationThm_2_e7_145_e2_169.lus,Safe,4,0.063,2,58,99.39,0.53,0.20,0,false,pic3
FMCAD08/Int/misc/durationThm_2_e7_145_e7_154.lus,Unsafe,,0.012,0,2,20.65,0.42,0.07,40,false,pic3
FMCAD08/Int/misc/_6counters_e8_371_e7_304.lus,Unsafe,4 0,0.148,2,160,99.01,0.53,0.41,40,false,pic3
FMCAD08/Int/misc/durationThm_2_e3_329_e4_1.lus,Safe,2,0.044,2,33,99.15,0.52,0.15,0,false,pic3
FMCAD08/Int/misc/_6countern.lus,Unsafe,,0.006,0,1,19.37,0.42,0.05,40,false,pic3
FMCAD08/Int/misc/durationThm_3_e7_334_e7_118.lus,Unsafe,,0.010,0,1,60.79,0.42,0.06,40,false,pic3
FMCAD08/Int/misc/ticket3i_3_e8_1703.lus,Safe,2,0.067,2,37,101.32,0.52,0.22,0,false,pic3
FMCAD08/Int/misc/ticket3i_4.lus,Safe,2,0.065,2,39,94.96,0.52,0.22,0,false,pic3
FMCAD08/Int/misc/ticket3i_3_e7_1312_e7_1495.lus,Unsafe,,0.020,0,2,64.46,0.52,0.11,40,false,pic3
FMCAD08/Int/misc/durationThm_1_e7_217_e1_89.lus,Unsafe,,0.012,0,2,59.15,0.53,0.07,40,false,pic3
FMCAD08/Int/misc/durationThm_3_e7_334_e1_431.lus,Unsafe,0,0.025,1,9,20.78,0.42,0.09,40,false,pic3
FMCAD08/Int/misc/ex8.lus,Unsafe,0,0.025,2,13,60.00,0.42,0.08,40,false,pic3
FMCAD08/Int/misc/_6counters_e8_371_e2_80.lus,Safe,0,0.019,2,12,93.39,0.44,0.08,0,false,pic3
FMCAD08/Int/misc/two_counters.lus,Safe,15 13 11 6,0.574,5,899,106.06,1.04,1.77,0,false,pic3
FMCAD08/Int/misc/durationThm_3_e3_207.lus,Safe,1,0.043,2,28,86.77,0.53,0.16,0,false,pic3
FMCAD08/Int/misc/ticket3i_3.lus,Safe,1,0.049,2,24,101.36,0.52,0.17,0,false,pic3
FMCAD08/Int/misc/durationThm_2_e3_329_e5_124.lus,Safe,2,0.044,2,33,100.39,0.54,0.15,0,false,pic3
FMCAD08/Int/misc/_6counters_e8_371_e3_224.lus,Timeout,,,,,,,,,true,pic3
FMCAD08/Int/misc/ex8_e7_74_e8_302.lus,Unsafe,0,0.025,2,13,96.12,0.54,0.09,40,false,pic3
FMCAD08/Int/misc/ticket3i_all_e3_557_e7_3464.lus,Safe,6,0.131,2,85,103.15,0.63,0.43,0,false,pic3
FMCAD08/Int/misc/ticket3i_5_e7_3307.lus,Safe,2,0.071,2,39,34.14,0.53,0.24,0,false,pic3
